ID,Rating,Date,Place Name,Text
8509fe4241c15132d54a8739434fb595,1.0,2024-08-08T14:17:49.644Z,,"07.08.24 хотела побывать в Эрмитаже. Не пускали в кассу минут 40 на улице, хотя, кто купил билеты онлайн пускали несколько раз. Это просто возмутимо, отношение к людям хамское, очень грязно. В июле была в залах было очень душно, просто невозможно ходить! Плохое впечатление!"
2b44ae5878942395ca7b1471f844e04d,1.0,2024-08-08T13:15:37.886Z,,"Побывала сегодня в Эрмитаже, и до этого была огромное количество раз. Но сегодня получила отвратительный опыт, такое ощущение, что господин Пиотровский совсем забыл о своем непосредственном месте работы. Простояла на улице 2 часа, при этом сотрудники хамят и сообщают, что за такие корейки работать им неинтересно, поэтому будут себя вести, как хотят. У сотрудников пропитые лица, хамят старикам, инвалидам. Пускали только с онлайн билетами, те кто хотел приобрести их в кассе не допускались. В очереди я была вторая, на мой вопрос после двух часов ожидания, когда же соизволят пускать нас, был ответ, кассиров не хватает, один кассир на всю толпу входящих, директор на всем экономит:) и это лучший музей РФ. На просьбу дать жалобную книгу, послали по пешему маршруту, и посмеиваясь сказали, к кассе подойдешь там тебе все дадут. И это в сезон, при таких доходах, директор не может взять 4 кассиров:) смешно. До этого была было грязно, такое ощущение, что вообще не убирают. Вопрос директору, может быть пора на пенсию, раз не хватает сил организовать так, чтобы не было стыдно перед людьми.  Дать дорогу кому то помоложе, кто каждый день бывал бы там и мог своими глазами видеть весь ужас происходящего. Все таки искусство принадлежит народу, который имеет право посетить музей в любое время, если другое не указано на сайте или на табличках."
fe9b8580d7ae56ae79019a23ee7ba335,1.0,2024-08-08T00:33:35.181Z,,"отвратительно. нельзя сходить по пушкинской карте, хотя это самый популярный музей в России. Нафига спрашивается эта Пушкинская карта - непонятно. Спасибо вам большое, отлично сходила. Поэтому ваша эта пушкинская карта никому не нужна. Только деньги лишь бы заработать на людях. Позор!"
1b03da682452cacb4269f901f4505c75,1.0,2024-08-07T19:42:12.337Z,,"На официальном сайте на странице покупки билетов: ""Максимальное количество билетов в одном заказе на одного человека: 1"". И это при том, что есть поле выбора количества билетов, но выбрать больше одного билета нельзя."
0509c741acb7634aad89123754315a9b,1.0,2024-08-06T18:13:25.494Z,,"Абсолютно не понравилось , воняет древней древностью в перемешку с нафталином и старыми посетителями . почти в каждом зале похожие картины дичи и вина . пожалел что пошел (экскурсоводы не помогут )"
fc6d1c76d1822eb3c5358db4f718f48d,1.0,2024-08-06T12:18:04.561Z,,"Пришли с подругами в Эрмитаж посмотреть картины, в итоге на нас накричал персонал и начал говорить что мы ""сиротки"", а так все очень красиво"
27d824dbaed53620f3fbfe429a4502ec,1.0,2024-08-06T08:05:03.230Z,,"Адские очереди. Пуста трата времени. Очереди чтобы зайти во двор, во дворе очередь чтобы купить билет, потом очередь чтобы войди внутрь. Дальше лучше развернуться и идти обедать.   Так бездарно организовать посещение нужно постараться.  Посмотреть снаружи еще можно, внутрь точно не надо пытаться попасть"
865fd1b66aa9f00237838800dde69537,1.0,2024-08-06T03:39:53.984Z,,Перепутал даты. Сделал возврат билета. 1500 р. Мне не вернули
2483f667e308ffeab3dadd66e21295f5,1.0,2024-08-04T18:26:29.425Z,,"Музей прекрасный, но! Как турист с ограничением в 2 часа, что я должен успеть посмотреть за это время? Деньги на ветер (хоть и не большие) не стоит того, думаю, что в будущем будет лучше. Ребят реально, 2 часа это вы просто читая пройдёте даже не половину. Да все клёво но! Смотрите сами. Каждый решает сам. Отмыть денег по быстрому это все наше."
dae68eb592f5bc383a2fc76e7b6b7ee7,1.0,2024-08-04T15:31:15.271Z,,"Ужасное отношение обслуживающего персонала - охранник хамит, совершенно не умеет разговаривать. В итоге пропало желание даже заходить внутрь."
